Name,Links,Cost,Cuisines,Timings,Cost_clean,cuisine_primary,_mkey,num_reviews,avg_sentiment,level_1,sentiment_score,pct_positive,pct_negative,avg_rating,num_cuisines,cuisine_north indian,cuisine_chinese,cuisine_continental,cuisine_biryani,cuisine_asian,cuisine_italian,cuisine_fast food,cuisine_desserts,cuisine_south indian,cuisine_kebab,is_open_late,price_per_star,sentiment_rating_gap,popularity_score,value_score,review_engagement,cuisine_diversity,kmeans_cluster,hierarchical_cluster
The Chocolate Room,https://www.zomato.com/hyderabad/the-chocolate-room-gachibowli,600,"Cafe, Desserts",10 AM to 12 Midnight,600,Cafe,the chocolate room,100,0.003612,pct_negative,0.0,0,0,2.83,2,0,0,0,0,0,0,0,1,0,0,0,212.0140593589896,-0.32097,142.011098,0.44228453069299345,0.16638935108153077,5.66,3,3
American Wild Wings,https://www.zomato.com/hyderabad/american-wild-wings-gachibowli,600,"American, Fast Food, Salad, Burger",12 Noon to 4 AM,600,American,american wild wings,77,0.0,pct_positive,0.0,0,0,3.9740259740259742,4,0,0,0,0,0,0,1,0,0,0,0,150.98035416507426,-1.4740259740259742,153.0,0.6210778137398743,0.1281198003327787,15.896103896103897,4,0
American Wild Wings,https://www.zomato.com/hyderabad/american-wild-wings-gachibowli,600,"American, Fast Food, Salad, Burger",12 Noon to 4 AM,600,American,american wild wings,77,0.0,pct_negative,0.0,0,0,3.9740259740259742,4,0,0,0,0,0,0,1,0,0,0,0,150.98035416507426,-1.4740259740259742,153.0,0.6210778137398743,0.1281198003327787,15.896103896103897,4,0
Domino's Pizza,https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli,400,"Fast Food, Pizza",11 AM to 11 PM,400,Fast Food,dominos pizza,99,0.0,pct_positive,0.0,0,0,3.0707070707070705,2,0,0,0,0,0,0,1,0,0,0,0,130.2631154735249,-0.5707070707070705,152.0,0.51230001988633,0.24688279301745636,6.141414141414141,3,3
Domino's Pizza,https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli,400,"Fast Food, Pizza",11 AM to 11 PM,400,Fast Food,dominos pizza,99,0.0,pct_negative,0.0,0,0,3.0707070707070705,2,0,0,0,0,0,0,1,0,0,0,0,130.2631154735249,-0.5707070707070705,152.0,0.51230001988633,0.24688279301745636,6.141414141414141,3,3
Mohammedia Shawarma,https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli,150,"Street Food, Arabian",1 PM to 1 AM,150,Street Food,mohammedia shawarma,100,0.0,pct_positive,0.0,0,0,2.99,2,0,0,0,0,0,0,0,0,0,0,0,50.16720730193735,-0.4900000000000002,149.5,0.5959403304795103,0.6622516556291391,5.98,3,3
Mohammedia Shawarma,https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli,150,"Street Food, Arabian",1 PM to 1 AM,150,Street Food,mohammedia shawarma,100,0.0,pct_negative,0.0,0,0,2.99,2,0,0,0,0,0,0,0,0,0,0,0,50.16720730193735,-0.4900000000000002,149.5,0.5959403304795103,0.6622516556291391,5.98,3,3
Arena Eleven,https://www.zomato.com/hyderabad/arena-eleven-gachibowli,1600,Continental,12 Noon to 12 Midnight,1600,Continental,arena eleven,85,0.006892941176470588,pct_positive,0.011764705882352941,0,0,4.117647058823529,1,0,0,1,0,0,0,0,0,0,0,0,388.5713342041046,-1.6004147058823524,176.20626470588235,0.5580689024754248,0.05309181761399125,4.117647058823529,4,0
Arena Eleven,https://www.zomato.com/hyderabad/arena-eleven-gachibowli,1600,Continental,12 Noon to 12 Midnight,1600,Continental,arena eleven,85,0.006892941176470588,pct_negative,0.0,0,0,4.117647058823529,1,0,0,1,0,0,0,0,0,0,0,0,388.5713342041046,-1.6004147058823524,176.20626470588235,0.5580689024754248,0.05309181761399125,4.117647058823529,4,0
Cascade - Radisson Hyderabad Hitec City,https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli,1800,"North Indian, Italian, Continental, Asian",24 Hours,1800,North Indian,cascade radisson hyderabad hitec city,100,-0.008016,pct_positive,0.0,0,0,4.26,4,1,0,1,0,1,1,0,0,0,0,0,422.5351120809596,-1.7800399999999996,211.29259199999998,0.5682956391229156,0.0555247084952804,17.04,1,2
Cascade - Radisson Hyderabad Hitec City,https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli,1800,"North Indian, Italian, Continental, Asian",24 Hours,1800,North Indian,cascade radisson hyderabad hitec city,100,-0.008016,pct_negative,0.02,0,0,4.26,4,1,0,1,0,1,1,0,0,0,0,0,422.5351120809596,-1.7800399999999996,211.29259199999998,0.5682956391229156,0.0555247084952804,17.04,1,2
Collage - Hyatt Hyderabad Gachibowli,https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli,2800,"Continental, Italian, North Indian, Chinese, Asian",24 Hours (Mon-Sun),2800,Continental,collage hyatt hyderabad gachibowli,100,0.006561,pct_positive,0.02,0,0,3.41,5,1,1,1,0,1,1,0,0,0,0,0,821.1141287055341,-0.8935975000000003,171.6186505,0.42959370094041227,0.03570153516601214,17.05,1,2
Collage - Hyatt Hyderabad Gachibowli,https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli,2800,"Continental, Italian, North Indian, Chinese, Asian",24 Hours (Mon-Sun),2800,Continental,collage hyatt hyderabad gachibowli,100,0.006561,pct_negative,0.01,0,0,3.41,5,1,1,1,0,1,1,0,0,0,0,0,821.1141287055341,-0.8935975000000003,171.6186505,0.42959370094041227,0.03570153516601214,17.05,1,2
Zing's Northeast Kitchen,https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli,550,"North Eastern, Momos","11:30 AM to 4 PM, 7 PM to 11 PM",550,North Eastern,zings northeast kitchen,100,0.010339000000000001,pct_positive,0.02,0,0,3.65,2,0,0,0,0,0,0,0,0,0,0,1,150.68489022331775,-1.1241524999999997,184.38686750000002,0.5782878292698785,0.18148820326678766,7.3,4,3
Zing's Northeast Kitchen,https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli,550,"North Eastern, Momos","11:30 AM to 4 PM, 7 PM to 11 PM",550,North Eastern,zings northeast kitchen,100,0.010339000000000001,pct_negative,0.0,0,0,3.65,2,0,0,0,0,0,0,0,0,0,0,1,150.68489022331775,-1.1241524999999997,184.38686750000002,0.5782878292698785,0.18148820326678766,7.3,4,3
Dunkin' Donuts,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,550,"Desserts, Cafe, Beverages, Burger, Fast Food",10 AM to 11 PM,550,Desserts,dunkin donuts,100,0.003612,pct_positive,0.01,0,0,3.095,5,0,0,0,0,0,0,1,1,0,0,0,177.70591996577704,-0.5859700000000001,155.308957,0.49035639221651356,0.18148820326678766,15.475000000000001,3,0
Dunkin' Donuts,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,550,"Desserts, Cafe, Beverages, Burger, Fast Food",10 AM to 11 PM,550,Desserts,dunkin donuts,100,0.003612,pct_negative,0.0,0,0,3.095,5,0,0,0,0,0,0,1,1,0,0,0,177.70591996577704,-0.5859700000000001,155.308957,0.49035639221651356,0.18148820326678766,15.475000000000001,3,0
